"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
27,"Pokemon Black/Pokemon White","DS",31,"Role-Playing","Nintendo",5.57,3.28,5.65,0.82,15.32
28,"Brain Age 2: More Training in Minutes a Day","DS",26,"Puzzle","Nintendo",3.44,5.36,5.32,1.18,15.3
29,"Gran Turismo 3: A-Spec","PS2",22,"Racing","Sony Computer Entertainment",6.85,5.09,1.87,1.16,14.98
30,"Call of Duty: Modern Warfare 3","X360",32,"Shooter","Activision",9.03,4.28,0.13,1.32,14.76
31,"Pokémon Yellow: Special Pikachu Edition","GB",19,"Role-Playing","Nintendo",5.89,5.04,3.12,0.59,14.64
32,"Call of Duty: Black Ops","X360",31,"Shooter","Activision",9.67,3.73,0.11,1.13,14.64
33,"Pokemon X/Pokemon Y","3DS",34,"Role-Playing","Nintendo",5.17,4.05,4.34,0.79,14.35
34,"Call of Duty: Black Ops 3","PS4",36,"Shooter","Activision",5.77,5.81,0.35,2.31,14.24
35,"Call of Duty: Black Ops II","PS3",33,"Shooter","Activision",4.99,5.88,0.65,2.52,14.03
36,"Call of Duty: Black Ops II","X360",33,"Shooter","Activision",8.25,4.3,0.07,1.12,13.73
37,"Call of Duty: Modern Warfare 2","X360",30,"Shooter","Activision",8.52,3.63,0.08,1.29,13.51
38,"Call of Duty: Modern Warfare 3","PS3",32,"Shooter","Activision",5.54,5.82,0.49,1.62,13.46
39,"Grand Theft Auto III","PS2",22,"Action","Take-Two Interactive",6.99,4.51,0.3,1.3,13.1
40,"Super Smash Bros. Brawl","Wii",29,"Fighting","Nintendo",6.75,2.61,2.66,1.02,13.04
41,"Call of Duty: Black Ops","PS3",31,"Shooter","Activision",5.98,4.44,0.48,1.83,12.73
42,"Animal Crossing: Wild World","DS",26,"Simulation","Nintendo",2.55,3.52,5.33,0.88,12.27
43,"Mario Kart 7","3DS",32,"Racing","Nintendo",4.74,3.91,2.67,0.89,12.21
44,"Halo 3","X360",28,"Shooter","Microsoft Game Studios",7.97,2.83,0.13,1.21,12.14
45,"Grand Theft Auto V","PS4",35,"Action","Take-Two Interactive",3.8,5.81,0.36,2.02,11.98
46,"Pokemon HeartGold/Pokemon SoulSilver","DS",30,"Action","Nintendo",4.4,2.77,3.96,0.77,11.9
47,"Super Mario 64","N64",17,"Platform","Nintendo",6.91,2.85,1.91,0.23,11.89
48,"Gran Turismo 4","PS2",25,"Racing","Sony Computer Entertainment",3.01,0.01,1.1,7.53,11.66
49,"Super Mario Galaxy","Wii",28,"Platform","Nintendo",6.16,3.4,1.2,0.76,11.52
50,"Pokemon Omega Ruby/Pokemon Alpha Sapphire","3DS",35,"Role-Playing","Nintendo",4.23,3.37,3.08,0.65,11.33
51,"Super Mario Land 2: 6 Golden Coins","GB",13,"Adventure","Nintendo",6.16,2.04,2.69,0.29,11.18
52,"Grand Theft Auto IV","X360",29,"Action","Take-Two Interactive",6.76,3.1,0.14,1.03,11.02
53,"Gran Turismo","PS",18,"Racing","Sony Computer Entertainment",4.02,3.87,2.54,0.52,10.95
54,"Super Mario 3D Land","3DS",32,"Platform","Nintendo",4.89,2.99,2.13,0.78,10.79
55,"Gran Turismo 5","PS3",31,"Racing","Sony Computer Entertainment",2.96,4.88,0.81,2.12,10.77
56,"Call of Duty: Modern Warfare 2","PS3",30,"Shooter","Activision",4.99,3.69,0.38,1.63,10.69
57,"Grand Theft Auto IV","PS3",29,"Action","Take-Two Interactive",4.76,3.76,0.44,1.62,10.57
58,"Super Mario All-Stars","SNES",14,"Platform","Nintendo",5.99,2.15,2.12,0.29,10.55
